meal_name,meal_type,budget_tier,goal_type,calories,estimated_cost,is_active
Yến mạch nấu chuối và 1 trứng luộc,breakfast,saving,lose,340,12000,1
Bánh mì trứng + dưa leo,breakfast,saving,lose,360,15000,1
Khoai lang luộc + sữa đậu nành không đường,breakfast,saving,lose,320,14000,1
Cháo yến mạch thịt bằm,breakfast,saving,lose,350,18000,1
Bún gà xé ít bún nhiều rau,breakfast,saving,lose,390,22000,1
Cơm gạo lứt + ức gà áp chảo + cà chua,breakfast,saving,lose,420,24000,1
2 trứng luộc + chuối + sữa chua không đường,breakfast,saving,lose,330,18000,1
Bánh mì ức gà xé sốt sữa chua,breakfast,saving,lose,380,22000,1
Miến gà nấm ít dầu,breakfast,saving,lose,370,23000,1
Phở gà phần nhỏ thêm rau,breakfast,saving,lose,400,25000,1
Bún cá phần nhỏ,breakfast,saving,lose,390,24000,1
Yến mạch qua đêm với táo,breakfast,saving,lose,310,16000,1
Sữa chua trái cây ít ngọt + hạt chia,breakfast,saving,lose,300,18000,1
Bánh mì cá hộp ngâm nước + xà lách,breakfast,saving,lose,390,22000,1
Cơm + trứng ốp la + rau luộc,breakfast,saving,lose,410,17000,1
Cháo đậu xanh ức gà xé,breakfast,saving,lose,360,19000,1
Khoai lang nướng + 2 lòng trắng trứng + 1 lòng đỏ,breakfast,saving,lose,300,15000,1
Bún riêu phần nhỏ,breakfast,saving,lose,380,22000,1
Hủ tiếu thịt nạc phần nhỏ,breakfast,saving,lose,400,25000,1
Yến mạch sữa tươi không đường + dâu,breakfast,saving,lose,320,18000,1
Bắp luộc + trứng luộc + sữa chua,breakfast,saving,lose,310,16000,1
Bánh cuốn ít chả + rau sống,breakfast,saving,lose,390,23000,1
Cháo cá và rau thì là,breakfast,saving,lose,350,22000,1
Bún thịt nạc nướng ít bún nhiều rau,breakfast,saving,lose,420,25000,1
Cơm nắm gạo lứt + cá ngừ,breakfast,saving,lose,340,20000,1
Cơm gạo lứt + ức gà luộc + bông cải,lunch,saving,lose,520,28000,1
Cơm trắng vừa phải + cá basa hấp + rau luộc,lunch,saving,lose,500,26000,1
Cơm + thịt nạc heo luộc + bí xanh,lunch,saving,lose,510,27000,1
Salad ức gà + khoai lang,lunch,saving,lose,450,30000,1
Cơm gạo lứt + trứng cuộn + cải ngọt,lunch,saving,lose,480,22000,1
Canh rau ngót thịt bằm + cơm ít,lunch,saving,lose,460,23000,1
Cơm + đậu hũ sốt cà + ức gà xé,lunch,saving,lose,500,25000,1
Cá nục kho cà + rau muống luộc + cơm,lunch,saving,lose,530,26000,1
Ức gà áp chảo + đậu que + cơm,lunch,saving,lose,510,29000,1
Bún cá ít bún nhiều rau,lunch,saving,lose,430,26000,1
Miến gà nấm + dưa leo,lunch,saving,lose,440,27000,1
Cơm + thịt bò xào cần tây ít dầu,lunch,saving,lose,560,35000,1
Cơm gạo lứt + cá rô phi áp chảo,lunch,saving,lose,500,30000,1
Tôm hấp + rau luộc + khoai lang,lunch,saving,lose,470,34000,1
Cơm + thịt nạc rang gừng + cải thìa,lunch,saving,lose,520,28000,1
Salad đậu hũ trứng luộc,lunch,saving,lose,420,24000,1
Cơm + ức gà xào nấm,lunch,saving,lose,500,30000,1
Canh chua cá + cơm vừa phải,lunch,saving,lose,480,28000,1
Bún thịt nướng nạc nhiều rau,lunch,saving,lose,520,32000,1
Cơm + cá hộp sốt cà + bắp cải luộc,lunch,saving,lose,490,24000,1
Đậu hũ non hấp thịt bằm + cơm,lunch,saving,lose,460,25000,1
Cơm + gà kho gừng bỏ da + canh cải,lunch,saving,lose,530,29000,1
Cá basa nướng giấy bạc + rau củ,lunch,saving,lose,450,30000,1
Cơm + trứng chiên cà chua + ức gà xé,lunch,saving,lose,500,24000,1
Salad cá ngừ + bánh mì nguyên cám 2 lát,lunch,saving,lose,430,32000,1
Canh bí đỏ ức gà + cơm ít,dinner,saving,lose,430,24000,1
Cơm gạo lứt + cá hấp + rau cải,dinner,saving,lose,450,26000,1
Salad đậu hũ non + trứng luộc,dinner,saving,lose,360,22000,1
Miến gà rau củ,dinner,saving,lose,390,24000,1
Khoai lang + cá ngừ trộn sữa chua,dinner,saving,lose,350,23000,1
Cháo yến mạch tôm,dinner,saving,lose,380,26000,1
Cơm + thịt nạc luộc + dưa leo,dinner,saving,lose,420,25000,1
Soup rau củ + ức gà xé,dinner,saving,lose,340,22000,1
Bún cá phần nhỏ,dinner,saving,lose,370,24000,1
Đậu hũ sốt nấm + rau luộc + cơm ít,dinner,saving,lose,400,22000,1
Ức gà áp chảo + salad dưa leo cà chua,dinner,saving,lose,360,26000,1
Canh chua cá + rau luộc,dinner,saving,lose,330,25000,1
Cơm ít + trứng hấp thịt bằm,dinner,saving,lose,410,22000,1
Cá basa áp chảo + măng tây,dinner,saving,lose,350,28000,1
Salad gà xé bắp cải,dinner,saving,lose,340,22000,1
Cơm gạo lứt + đậu que xào thịt nạc,dinner,saving,lose,430,24000,1
Tôm luộc + bí xanh hấp,dinner,saving,lose,320,30000,1
Yến mạch mặn với trứng và nấm,dinner,saving,lose,360,18000,1
Hủ tiếu thịt nạc phần nhỏ,dinner,saving,lose,390,24000,1
Rau củ hấp + ức gà sốt tiêu,dinner,saving,lose,350,25000,1
Cá nục kho nhạt + rau muống luộc,dinner,saving,lose,400,23000,1
Canh cải thịt bằm + khoai lang nhỏ,dinner,saving,lose,370,21000,1
Cơm + đậu hũ trứng non sốt cà,dinner,saving,lose,410,20000,1
Salad cá hộp + ngô ngọt,dinner,saving,lose,360,21000,1
Miến trộn gà xé,dinner,saving,lose,400,25000,1
Sữa chua không đường + 1 quả táo,snack,saving,lose,140,12000,1
Chuối + 5 hạt hạnh nhân,snack,saving,lose,150,10000,1
Khoai lang nhỏ luộc,snack,saving,lose,120,8000,1
1 quả trứng luộc + dưa leo,snack,saving,lose,90,7000,1
Sữa đậu nành không đường,snack,saving,lose,100,7000,1
Cam + sữa chua,snack,saving,lose,130,13000,1
Bắp luộc nửa trái,snack,saving,lose,110,7000,1
Táo + trà xanh,snack,saving,lose,95,12000,1
Dưa hấu 1 phần,snack,saving,lose,80,8000,1
Ổi + muối ớt nhẹ,snack,saving,lose,90,10000,1
Sữa chua + hạt chia,snack,saving,lose,120,13000,1
2 bánh gạo lứt,snack,saving,lose,100,8000,1
Chuối nhỏ,snack,saving,lose,90,5000,1
Lê 1 quả,snack,saving,lose,100,12000,1
1 ly sữa tươi không đường,snack,saving,lose,110,9000,1
Cà rốt luộc + chấm sữa chua,snack,saving,lose,85,8000,1
Trứng gà luộc,snack,saving,lose,70,6000,1
Nho 1 chén nhỏ,snack,saving,lose,100,15000,1
Dưa leo cuộn cá ngừ,snack,saving,lose,130,14000,1
Táo + 1 thìa bơ đậu phộng,snack,saving,lose,160,13000,1
Sữa chua uống ít đường,snack,saving,lose,100,9000,1
Thanh yến mạch homemade nhỏ,snack,saving,lose,150,10000,1
Bưởi 1 phần,snack,saving,lose,80,10000,1
Ngô luộc + trà thảo mộc,snack,saving,lose,120,9000,1
Đậu edamame luộc phần nhỏ,snack,saving,lose,140,15000,1
Phở gà phần nhỏ thêm rau,breakfast,normal,lose,420,30000,1
Bánh mì ức gà áp chảo + salad,breakfast,normal,lose,430,32000,1
Greek yogurt + granola ít đường + berries,breakfast,normal,lose,380,35000,1
Yến mạch protein với chuối,breakfast,normal,lose,400,28000,1
Bún bò phần nhỏ ít béo,breakfast,normal,lose,450,35000,1
Cơm gạo lứt + cá hồi vụn + trứng,breakfast,normal,lose,460,38000,1
Bánh cuốn thịt nạc + rau,breakfast,normal,lose,410,28000,1
Miến gà nấm phần vừa,breakfast,normal,lose,390,30000,1
Overnight oats xoài hạt chia,breakfast,normal,lose,360,30000,1
Trứng scramble + bánh mì nguyên cám,breakfast,normal,lose,370,25000,1
Bún thịt nướng nạc nhiều rau,breakfast,normal,lose,450,35000,1
Smoothie bowl bơ chuối yogurt,breakfast,normal,lose,390,32000,1
Hủ tiếu nam vang phần nhỏ,breakfast,normal,lose,440,35000,1
Cháo yến mạch cá hồi,breakfast,normal,lose,380,34000,1
Khoai lang + ức gà xé + dưa leo,breakfast,normal,lose,350,26000,1
Bánh mì cá ngừ ngâm nước,breakfast,normal,lose,400,30000,1
Sữa chua Hy Lạp + táo + hạt,breakfast,normal,lose,350,32000,1
Pancake yến mạch chuối,breakfast,normal,lose,370,28000,1
Bún cá hồi thì là phần nhỏ,breakfast,normal,lose,420,38000,1
Cơm nắm gạo lứt + gà teriyaki nhẹ,breakfast,normal,lose,430,32000,1
Phở cuốn bò rau sống,breakfast,normal,lose,410,35000,1
Nui gà rau củ,breakfast,normal,lose,390,30000,1
Bánh mì trứng bơ nhẹ,breakfast,normal,lose,420,28000,1
Yến mạch sữa hạnh nhân + dâu,breakfast,normal,lose,330,30000,1
Bún riêu cua phần nhỏ,breakfast,normal,lose,430,32000,1
Cơm gạo lứt + ức gà sốt nấm + salad,lunch,normal,lose,540,42000,1
Cá hồi áp chảo + rau củ + khoai lang,lunch,normal,lose,560,48000,1
Bò xào bông cải + cơm vừa phải,lunch,normal,lose,590,45000,1
Tôm hấp + cơm gạo lứt + măng tây,lunch,normal,lose,520,46000,1
Salad cá ngừ áp chảo + bánh mì nguyên cám,lunch,normal,lose,480,43000,1
Cơm + thịt thăn heo áp chảo + canh rau,lunch,normal,lose,550,40000,1
Bún chả nạc nhiều rau,lunch,normal,lose,560,42000,1
Miến trộn gà xé,lunch,normal,lose,470,36000,1
Cơm + cá thu nướng + rau luộc,lunch,normal,lose,560,44000,1
Đậu hũ non sốt bò bằm + cơm,lunch,normal,lose,510,38000,1
Pasta sốt cà ức gà,lunch,normal,lose,570,43000,1
Cơm + cá saba nướng + salad,lunch,normal,lose,550,46000,1
Bún bò ít bún nhiều thịt nạc và rau,lunch,normal,lose,580,42000,1
Cơm + tôm xào nấm + bí xanh,lunch,normal,lose,530,45000,1
Salad gà áp chảo + ngô ngọt,lunch,normal,lose,470,39000,1
Cơm gạo lứt + trứng hấp + thịt nạc,lunch,normal,lose,500,35000,1
Cá ngừ áp chảo + khoai tây luộc + salad,lunch,normal,lose,520,45000,1
Cơm + bò cuộn nấm kim châm,lunch,normal,lose,570,47000,1
Bún cá + rau sống,lunch,normal,lose,460,38000,1
Cơm + gà nướng thảo mộc + bông cải,lunch,normal,lose,550,43000,1
Canh chua cá hồi + cơm ít,lunch,normal,lose,480,42000,1
Poke bowl cá ngừ kiểu Việt,lunch,normal,lose,500,48000,1
Cơm + thịt viên sốt cà + rau củ,lunch,normal,lose,560,39000,1
Salad tôm bơ,lunch,normal,lose,450,46000,1
Cơm + cá rô phi sốt chanh + rau,lunch,normal,lose,520,40000,1
Salad cá hồi xông khói + khoai lang,dinner,normal,lose,430,45000,1
Soup bí đỏ + ức gà sous vide,dinner,normal,lose,390,36000,1
Cơm gạo lứt + tôm áp chảo + rau,dinner,normal,lose,450,42000,1
Cá saba nướng + dưa leo + canh rau,dinner,normal,lose,420,43000,1
Pasta gà sốt cà phần nhỏ,dinner,normal,lose,460,39000,1
Bún cá phần nhỏ,dinner,normal,lose,380,35000,1
Ức gà nướng + bí ngòi + cà rốt,dinner,normal,lose,370,38000,1
Đậu hũ non sốt nấm + salad,dinner,normal,lose,340,32000,1
Cơm ít + bò xào rau cần,dinner,normal,lose,470,42000,1
Miến gà rau củ,dinner,normal,lose,390,34000,1
Cá hồi áp chảo + măng tây,dinner,normal,lose,410,45000,1
Canh chua tôm + rau luộc,dinner,normal,lose,350,38000,1
Cháo yến mạch thịt gà,dinner,normal,lose,360,28000,1
Tuna salad bowl,dinner,normal,lose,370,40000,1
Cơm + trứng hấp nấm + rau,dinner,normal,lose,400,30000,1
Hủ tiếu gà phần nhỏ,dinner,normal,lose,390,35000,1
Gà cuộn rau củ hấp,dinner,normal,lose,360,39000,1
Khoai lang + cá ngừ,dinner,normal,lose,340,30000,1
Salad bò áp chảo,dinner,normal,lose,420,43000,1
Cơm gạo lứt + cá basa nướng,dinner,normal,lose,410,34000,1
Soup nấm kem nhẹ + gà xé,dinner,normal,lose,350,32000,1
Bún thịt nướng nạc phần nhỏ,dinner,normal,lose,430,39000,1
Đậu hũ áp chảo + rau củ hấp,dinner,normal,lose,330,30000,1
Cơm + tôm rim nhạt + bầu luộc,dinner,normal,lose,420,38000,1
Cháo cá hồi bí đỏ,dinner,normal,lose,380,39000,1
Greek yogurt không đường,snack,normal,lose,120,18000,1
Táo + 1 thìa bơ hạnh nhân,snack,normal,lose,170,22000,1
Chuối + whey nửa muỗng pha nước,snack,normal,lose,180,25000,1
Dâu tây + sữa chua,snack,normal,lose,130,20000,1
Edamame luộc,snack,normal,lose,150,18000,1
Cam vàng + trà thảo mộc,snack,normal,lose,90,15000,1
Protein pudding nhỏ,snack,normal,lose,170,25000,1
2 bánh quy yến mạch ít đường,snack,normal,lose,140,16000,1
Nho + phô mai viên nhỏ,snack,normal,lose,160,22000,1
Sữa tươi protein cao,snack,normal,lose,140,22000,1
Bưởi 1 phần lớn,snack,normal,lose,90,16000,1
Bánh gạo lứt + cá ngừ,snack,normal,lose,150,22000,1
Dưa leo + hummus,snack,normal,lose,130,25000,1
Lê + sữa chua Hy Lạp,snack,normal,lose,150,22000,1
Thanh granola ít đường,snack,normal,lose,160,20000,1
Kiwi 2 quả,snack,normal,lose,100,22000,1
Táo xanh + quế,snack,normal,lose,90,18000,1
Sữa hạnh nhân không đường,snack,normal,lose,80,18000,1
Chuối + hạt mix nhỏ,snack,normal,lose,180,20000,1
Pudding chia seed,snack,normal,lose,160,25000,1
Trứng luộc + cà chua bi,snack,normal,lose,100,12000,1
Sữa chua uống probiotic,snack,normal,lose,100,15000,1
Dưa hấu + hạt bí,snack,normal,lose,130,18000,1
Yến mạch qua đêm mini,snack,normal,lose,170,22000,1
Bắp ngọt luộc phần nhỏ,snack,normal,lose,110,12000,1
Overnight oats protein berries,breakfast,premium,lose,380,45000,1
Greek yogurt bowl granola hạt chia,breakfast,premium,lose,400,50000,1
Sandwich nguyên cám ức gà avocado,breakfast,premium,lose,430,55000,1
Smoothie bowl xoài chuối whey,breakfast,premium,lose,390,52000,1
Phở bò nạc premium phần nhỏ,breakfast,premium,lose,460,60000,1
Bagel trứng cá hồi xông khói,breakfast,premium,lose,470,65000,1
Pancake yến mạch protein + dâu,breakfast,premium,lose,410,50000,1
Cơm gạo lứt + cá hồi + trứng lòng đào,breakfast,premium,lose,480,65000,1
Cháo yến mạch tôm hữu cơ,breakfast,premium,lose,370,52000,1
Burrito gà avocado kiểu healthy,breakfast,premium,lose,450,58000,1
Bánh mì sourdough cá ngừ salad,breakfast,premium,lose,420,55000,1
Sữa chua Hy Lạp hữu cơ + quả mọng,breakfast,premium,lose,350,48000,1
Bún cá hồi thì là premium,breakfast,premium,lose,440,62000,1
Trứng benedict kiểu healthy,breakfast,premium,lose,430,60000,1
Nui gà sốt pesto nhẹ,breakfast,premium,lose,420,56000,1
Smoothie xanh spinach chuối whey,breakfast,premium,lose,360,50000,1
Wrap gà nướng trứng,breakfast,premium,lose,430,54000,1
Poke breakfast bowl cá hồi,breakfast,premium,lose,450,62000,1
Granola homemade cao đạm + sữa hạt,breakfast,premium,lose,390,47000,1
Toasts bơ avocado + trứng poached,breakfast,premium,lose,410,55000,1
Chia pudding xoài yogurt,breakfast,premium,lose,340,46000,1
Hủ tiếu hải sản premium phần nhỏ,breakfast,premium,lose,450,62000,1
Phở cuốn bò wagyu lean,breakfast,premium,lose,470,68000,1
Croissant trứng gà xé salad,breakfast,premium,lose,430,58000,1
Oatmeal cacao chuối bơ hạt,breakfast,premium,lose,400,48000,1
Meal prep ức gà sous vide + quinoa + rau củ,lunch,premium,lose,520,75000,1
Meal prep cá hồi Na Uy + măng tây + khoai,lunch,premium,lose,560,95000,1
Steak bò Úc lean + salad + khoai nghiền,lunch,premium,lose,620,110000,1
Poke bowl cá hồi avocado,lunch,premium,lose,540,95000,1
Tôm sú áp chảo + gạo lứt + rau nướng,lunch,premium,lose,530,90000,1
Cá tuyết áp chảo + bí ngòi + khoai lang,lunch,premium,lose,500,105000,1
Gà hữu cơ nướng thảo mộc + salad,lunch,premium,lose,520,82000,1
Bún bò premium chọn nạc,lunch,premium,lose,580,70000,1
Salad bò Mỹ áp chảo,lunch,premium,lose,490,85000,1
Pasta nguyên cám ức gà sốt cà,lunch,premium,lose,560,78000,1
Cơm gạo lứt + cá saba Nhật nướng,lunch,premium,lose,550,85000,1
Tuna steak + salad + ngô nướng,lunch,premium,lose,520,92000,1
Meal prep turkey meatballs + pasta,lunch,premium,lose,570,88000,1
Salad tôm bơ hữu cơ,lunch,premium,lose,470,90000,1
Bowl đậu gà gà nướng kiểu Địa Trung Hải,lunch,premium,lose,500,78000,1
Cơm + bò sốt tiêu đen lean + broccoli,lunch,premium,lose,600,92000,1
Gà pesto + quinoa + rau củ,lunch,premium,lose,530,82000,1
Cá hồi teriyaki nhẹ + cơm + salad,lunch,premium,lose,560,94000,1
Bibimbap bò healthy,lunch,premium,lose,580,85000,1
Salad cá ngừ tataki,lunch,premium,lose,460,88000,1
Hủ tiếu hải sản cao cấp phần vừa,lunch,premium,lose,540,78000,1
Cơm + heo Iberico nạc + rau củ hấp,lunch,premium,lose,590,98000,1
Bún chả nạc premium nhiều rau,lunch,premium,lose,570,72000,1
Meal prep tofu steak + nấm + quinoa,lunch,premium,lose,480,70000,1
Sushi bowl cá hồi trứng,lunch,premium,lose,550,92000,1
Meal prep cá hồi + salad kale,dinner,premium,lose,420,90000,1
Ức gà sous vide + bí ngòi nướng,dinner,premium,lose,360,72000,1
Soup bí đỏ organic + shrimp,dinner,premium,lose,350,68000,1
Salad cá ngừ avocado,dinner,premium,lose,390,82000,1
Pasta nguyên cám hải sản phần nhỏ,dinner,premium,lose,450,78000,1
Cá tuyết hấp + măng tây,dinner,premium,lose,370,98000,1
Gà cuộn spinach phô mai nhẹ,dinner,premium,lose,400,76000,1
Cơm gạo lứt + bò áp chảo lean,dinner,premium,lose,470,85000,1
Poke bowl mini cá hồi,dinner,premium,lose,410,80000,1
Đậu hũ Nhật sốt nấm + rau củ,dinner,premium,lose,330,62000,1
Canh miso cá hồi + salad,dinner,premium,lose,340,70000,1
Tôm áp chảo bơ tỏi nhẹ + rau,dinner,premium,lose,380,82000,1
Salad gà nướng hữu cơ,dinner,premium,lose,350,72000,1
Cháo yến mạch hải sản,dinner,premium,lose,360,65000,1
Cơm ít + cá saba Nhật nướng,dinner,premium,lose,420,78000,1
Soup nấm truffle nhẹ + gà xé,dinner,premium,lose,340,70000,1
Tuna bowl low carb,dinner,premium,lose,390,80000,1
Cơm gạo lứt + tôm hấp + bí đỏ,dinner,premium,lose,430,76000,1
Bò cuộn măng tây,dinner,premium,lose,400,86000,1
Salad quinoa đậu gà,dinner,premium,lose,350,68000,1
Hủ tiếu gà premium phần nhỏ,dinner,premium,lose,400,68000,1
Bún cá hồi phần nhỏ,dinner,premium,lose,410,76000,1
Ức gà sốt chanh dây nhẹ + salad,dinner,premium,lose,370,74000,1
Salad burrata cà chua + gà xé,dinner,premium,lose,390,82000,1
Cá hồi miso nhẹ + rau củ hấp,dinner,premium,lose,420,92000,1
Greek yogurt hữu cơ,snack,premium,lose,120,25000,1
Protein shake pha nước,snack,premium,lose,130,35000,1
Blueberries + yogurt,snack,premium,lose,110,30000,1
Táo Envy + bơ hạnh nhân,snack,premium,lose,170,32000,1
Hạt mix cao cấp phần nhỏ,snack,premium,lose,180,30000,1
Pudding chia coconut không đường,snack,premium,lose,160,32000,1
Kiwi vàng 2 quả,snack,premium,lose,110,35000,1
Protein bar ít đường,snack,premium,lose,180,40000,1
Edamame hữu cơ,snack,premium,lose,140,25000,1
Dưa leo + hummus premium,snack,premium,lose,130,32000,1
Sữa hạt protein,snack,premium,lose,120,30000,1
Dâu tây nhập khẩu 1 phần nhỏ,snack,premium,lose,100,35000,1
Trứng luộc lòng đào 2 quả,snack,premium,lose,140,18000,1
Granola cup mini,snack,premium,lose,170,28000,1
Sữa chua Hy Lạp + matcha,snack,premium,lose,130,28000,1
Cottage cheese + dứa,snack,premium,lose,140,32000,1
Avocado half + muối tiêu,snack,premium,lose,160,30000,1
Chocolate đen 70% + hạnh nhân,snack,premium,lose,170,30000,1
Cherry tomato + mozzarella mini,snack,premium,lose,130,32000,1
Poke snack cá hồi mini,snack,premium,lose,180,45000,1
Nho xanh không hạt,snack,premium,lose,100,30000,1
Rice cake + peanut butter mỏng,snack,premium,lose,150,22000,1
Smoothie xanh mini,snack,premium,lose,140,35000,1
Yogurt drink probiotic premium,snack,premium,lose,100,25000,1
Bưởi hồng + trà thảo mộc,snack,premium,lose,90,22000,1
Cơm trắng + 2 trứng ốp la + chuối,breakfast,saving,gain,620,18000,1
Cơm trắng + trứng chiên + thịt bằm,breakfast,saving,gain,680,22000,1
